epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0485,2.29187,4.81976,2.23449,0.00182,0.75,0.06215,0.0382,2.09141,5.17521,1.78307,0.000333333,0.000333333,0.000333333
2,4.81735,2.19772,4.57213,2.01069,0.00182,0.75,0.07409,0.04609,2.05888,5.12425,1.77215,0.0009901,0.0009901,0.0009901
3,5.36974,2.53717,5.45064,2.28923,0.00182,0.75,0.07409,0.04609,2.05888,5.12425,1.77215,0.00163367,0.00163367,0.00163367
4,5.8934,2.36049,4.84853,2.09628,0.00182,0.75,0.07317,0.04806,2.06495,5.06175,1.78228,0.0019406,0.0019406,0.0019406
5,6.42448,2.08937,4.27025,2.03164,0.00182,0.75,0.07317,0.04806,2.06495,5.06175,1.78228,0.0019208,0.0019208,0.0019208
6,6.93822,2.18639,4.7779,2.00175,0.00182,0.75,0.06856,0.04068,2.03505,5.11828,1.75585,0.001901,0.001901,0.001901
7,7.43114,2.2725,4.96155,2.06901,0.00182,0.75,0.06856,0.04068,2.03505,5.11828,1.75585,0.0018812,0.0018812,0.0018812
8,7.96143,2.13689,4.46052,1.97233,0.00182,0.75,0.08134,0.04995,2.01473,5.31807,1.73951,0.0018614,0.0018614,0.0018614
9,8.46305,2.03705,4.85235,1.87456,0.00182,0.75,0.08134,0.04995,2.01473,5.31807,1.73951,0.0018416,0.0018416,0.0018416
10,8.99143,2.2817,5.14816,2.0432,0.00182,0.75,0.05771,0.03357,1.9524,5.50109,1.71783,0.0018218,0.0018218,0.0018218
11,9.48452,2.07243,4.4556,1.96971,0.00182,0.75,0.05771,0.03357,1.9524,5.50109,1.71783,0.001802,0.001802,0.001802
12,10.1412,2.33956,4.34946,2.26626,0.00212,0.875,0.00626,0.00144,3.30421,7.21296,3.71972,0.0017822,0.0017822,0.0017822
13,10.7659,2.46013,4.45929,2.2649,0.00212,0.875,0.00626,0.00144,3.30421,7.21296,3.71972,0.0017624,0.0017624,0.0017624
14,11.3971,2.43857,4.8204,2.41436,0.00121,0.5,0.00111,0.0003,3.20888,7.46953,4.35519,0.0017426,0.0017426,0.0017426
15,12.0122,2.19542,4.57589,2.24144,0.00121,0.5,0.00111,0.0003,3.20888,7.46953,4.35519,0.0017228,0.0017228,0.0017228
16,12.6466,2.63149,4.68877,2.50873,0.00182,0.75,0.00378,0.00108,3.18274,8.30316,5.44561,0.001703,0.001703,0.001703
17,13.265,2.22047,4.59353,2.19637,0.00182,0.75,0.00378,0.00108,3.18274,8.30316,5.44561,0.0016832,0.0016832,0.0016832
18,13.8918,2.42203,4.01765,2.40266,0.02901,0.125,0.00584,0.00285,3.32969,14.0078,8.51109,0.0016634,0.0016634,0.0016634
