epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4424,1.81478,5.68822,0.01227,0.92394,0.06531,0.08678,0.04303,1.58148,6.17712,0.01076,0.00030147,0.00030147,0.00030147
2,137.393,1.53549,4.70267,0.00943,0.28207,0.16024,0.13348,0.07163,1.54659,5.33056,0.01032,0.00060048,0.00060048,0.00060048
3,203.505,1.53672,4.28471,0.00981,0.33311,0.19768,0.16649,0.09056,1.54938,4.5234,0.01034,0.000895491,0.000895491,0.000895491
4,269.644,1.536,3.78062,0.00976,0.2327,0.27287,0.20648,0.1202,1.45894,3.95916,0.01006,0.000891002,0.000891002,0.000891002
5,335.56,1.53256,3.47268,0.00969,0.24582,0.28497,0.20275,0.11234,1.52896,3.57893,0.01036,0.000885002,0.000885002,0.000885002
6,401.659,1.5601,3.23782,0.00987,0.26141,0.29188,0.24704,0.13825,1.55171,3.209,0.01078,0.000879003,0.000879003,0.000879003
7,467.348,1.55754,3.04404,0.00991,0.2531,0.3104,0.24413,0.13593,1.53769,3.10693,0.01053,0.000873004,0.000873004,0.000873004
8,533.049,1.54817,2.91944,0.00968,0.30927,0.33551,0.28429,0.14447,1.62852,2.93757,0.01093,0.000867004,0.000867004,0.000867004
9,598.912,1.52993,2.77354,0.00953,0.30681,0.36734,0.29545,0.15894,1.5548,2.84579,0.01042,0.000861005,0.000861005,0.000861005
10,663.924,1.54069,2.75105,0.00973,0.33824,0.38097,0.31413,0.17299,1.55847,2.62577,0.01048,0.000855005,0.000855005,0.000855005
11,730.027,1.52232,2.64507,0.00991,0.34105,0.3674,0.33449,0.18668,1.53214,2.58679,0.0103,0.000849006,0.000849006,0.000849006
12,795.802,1.54409,2.58537,0.00968,0.39034,0.37623,0.34384,0.19145,1.59543,2.55463,0.01096,0.000843007,0.000843007,0.000843007
13,861.65,1.52858,2.50051,0.0096,0.36861,0.3697,0.34183,0.1975,1.47446,2.55276,0.01024,0.000837007,0.000837007,0.000837007
14,926.423,1.52345,2.42147,0.00948,0.43758,0.36459,0.35219,0.19451,1.58056,2.44183,0.01033,0.000831008,0.000831008,0.000831008
15,992.088,1.52815,2.35054,0.00969,0.38014,0.39773,0.36416,0.19295,1.59414,2.42431,0.01047,0.000825008,0.000825008,0.000825008
16,1056.81,1.51875,2.32256,0.00958,0.38991,0.41401,0.37379,0.2035,1.53981,2.3502,0.01032,0.000819009,0.000819009,0.000819009
17,1122.46,1.52852,2.28807,0.00932,0.36291,0.43512,0.36766,0.19472,1.63226,2.31633,0.01056,0.00081301,0.00081301,0.00081301
